month,loan_type,accounts,delinquency_accounts,interest_revenue,delinquency_loss,operative_costs,net_income
1,Contigo A,5000,675.0,648750.0,675000.0,150000,-176250.0
2,Contigo A,6250,843.75,810937.5,843750.0,187500,-220312.5
3,Contigo A,7812,1054.6200000000001,1013607.0,1054620.0000000002,234360,-275373.00000000023
4,Contigo A,9765,1318.275,1267008.75,1318275.0,292950,-344216.25
5,Contigo A,12207,1647.9450000000002,1583858.25,1647945.0000000002,366210,-430296.75000000023
6,Contigo A,15258,2059.83,1979725.5,2059830.0,457740,-537844.5
7,Contigo A,19073,2574.855,2474721.75,2574855.0,572190,-672323.25
8,Contigo A,23841,3218.5350000000003,3093369.75,3218535.0000000005,715230,-840395.2500000005
9,Contigo A,29802,4023.2700000000004,3866809.5,4023270.0000000005,894060,-1050520.5000000005
10,Contigo A,37252,5029.02,4833447.0,5029020.0,1117560,-1313133.0
11,Contigo A,46566,6286.410000000001,6041938.5,6286410.000000001,1396980,-1641451.500000001
12,Contigo A,58207,7857.945000000001,7552358.25,7857945.000000001,1746210,-2051796.750000001
1,Contigo B,10000,800.0,1840000.0,1600000.0,300000,-60000.0
2,Contigo B,11000,880.0,2024000.0,1760000.0,330000,-66000.0
3,Contigo B,12100,968.0,2226400.0,1936000.0,363000,-72600.0
4,Contigo B,13310,1064.8,2449040.0,2129600.0,399300,-79860.0
5,Contigo B,14641,1171.28,2693944.0,2342560.0,439230,-87846.0
6,Contigo B,16105,1288.4,2963320.0,2576800.0,483150,-96630.0
7,Contigo B,17715,1417.2,3259560.0,2834400.0,531450,-106290.0
8,Contigo B,19487,1558.96,3585608.0,3117920.0,584610,-116922.0
9,Contigo B,21435,1714.8,3944040.0,3429600.0,643050,-128610.0
10,Contigo B,23579,1886.32,4338536.0,3772640.0,707370,-141474.0
11,Contigo B,25937,2074.96,4772408.0,4149920.0,778110,-155622.0
12,Contigo B,28531,2282.48,5249704.0,4564960.0,855930,-171186.0
